Perspective,Theme / Sub-Topic,Level 0: Non-Existent,Level 1: Summarised,Level 2: Structured,Level 3: Elaborated,Level 4: Actionable
1. Business,Value Proposition,No resources.,Brief paragraph covering challenges; opportunities; expected benefits; and how features address them.,Organised sections mapping each challenge to specific features and expected outcomes; with logical rationale for each value claim.,Full narrative with case studies; worked financial examples; and evidence demonstrating value realisation for each mapping.,Complete with value-capture templates; outcome-tracking dashboards; and reusable business-case frameworks ready for adaptation.
1. Business,Risk & Compliance,No resources.,Brief identification of security risks; compliance requirements; legal liabilities; and mitigation approaches.,Categorised risk assessment with compliance mappings; prioritised mitigation strategies; and defined responsibility assignments.,Detailed risk scenarios with behavioural response guides; compliance evidence chains; and worked mitigation examples.,Ready-to-use compliance audit checklists; automated security posture checks; and complete policy templates.
1. Business,Stakeholder Alignment,No resources.,Brief profiles of key personas covering their needs; interests; expected value; and engagement approach.,Detailed persona profiles with defined needs-to-feature mappings; interest prioritisation; and value expectations per role.,Empathy maps; behavioural journey narratives; and scenario-based engagement guides for each persona.,Interactive persona-specific onboarding templates; stakeholder alignment worksheets; and dynamic engagement trackers.
1. Business,Financial Strategy,No resources.,Brief overview of cost considerations; required investment; and expected return covering ROI and TCO.,Documented formulas and logical frameworks for calculating ROI and TCO; with defined cost categories and assumptions.,Worked financial examples based on realistic scenarios; with sensitivity analysis and assumption validation.,Interactive ROI/TCO calculators; automated financial modelling spreadsheets; and reusable business case templates.
2. Technology,Architecture,No resources.,Brief description of system components; their roles; key relationships; and primary architectural decisions.,Logical blueprints with defined component relationships; failure modes; capacity considerations; and design rationale.,Solution architectures contextualised for specific scenarios; with worked deployment examples and trade-off analysis.,Executable architectures (Diagrams-as-Code); validated design patterns; and production-ready reference implementations.
2. Technology,Implementation,No resources.,Brief overview of hardware requirements; system components; installation steps; sizing; and supported workloads.,Step-by-step install and configuration guides with detailed sizing logic; component dependencies; and workload specifications.,Scenario-based setup guides with behavioural troubleshooting steps; worked sizing examples; and validated configurations.,Automated deployment scripts (Infrastructure as Code); auto-scaling rules; and self-service provisioning templates.
2. Technology,Integration,No resources.,Brief identification of external systems; APIs; integration patterns; dependencies; and data flows.,API descriptions with documented integration patterns; dependency maps; and defined data exchange formats.,Detailed integration how-tos with worked examples for specific use-cases; error-handling scenarios; and data transformation guides.,Reference code repositories; Postman collections; ready-to-use SDKs; and automated integration test suites.
2. Technology,Deployment & Validation,No resources.,Brief overview of deployment processes; evaluation metrics; validation criteria; and debugging approaches.,Documented deployment workflows with defined evaluation benchmarks; acceptance criteria; and validation checkpoints.,Interactive deployment walkthroughs with customisation guides; behavioural debugging scenarios; and worked validation examples.,Fully automated CI/CD pipelines; modular deployment artifacts; and built-in audit and testing tools.
2. Technology,Lifecycle,No resources.,Brief overview of migration paths; workload transitions; data handling; and legacy-to-target transformation approach.,Defined migration steps with workload categorisation; data transformation rules; and dependency sequencing.,Worked migration examples detailing common pitfalls; rollback procedures; and validated transformation sequences.,Automated migration scripts; data transformation tools; and self-service workload migration templates.
3. People,Roles & Skills,No resources.,Brief profiles of key roles covering required skills; competency expectations; and assessment approach.,Detailed role templates with specific competency levels; skill matrices; and RACI assignments for each role.,Behavioural interview guides; day-in-the-life scenarios; and worked competency assessment examples for each role.,Ready-to-use job description templates; automated skills assessment tools; and career progression frameworks.
3. People,Team Design,No resources.,Brief overview of team structures; business objectives; capacity needs; and interaction models.,Defined team structures with documented objectives; service inputs/outputs; and capacity requirements.,Scenario-based guidance on team interactions; scaling decisions; and worked examples of team evolution.,Automated capacity planning calculators; team charter templates; and self-service team design tools.
3. People,Org Change,No resources.,Brief overview of change rationale; adaptation strategies; resistance management; and communication approach.,Documented change strategies with logical frameworks for building teams; managing resistance; and sequencing transitions.,Playbooks addressing common behavioural pushback; worked transition scenarios; and facilitation guides.,Complete change management toolkits; communication templates; feedback survey instruments; and tracking dashboards.
4. Process,Workflows,No resources.,Brief overview of operational process steps; decision points; handoffs; and exception handling.,Detailed workflow diagrams (e.g. BPMN) with defined decision criteria; handoff protocols; and exception paths.,Scenario-based walkthroughs with behavioural guides for complex decision points and worked exception examples.,Automated runbooks; workflow execution templates (e.g. Jira/ServiceNow imports); and self-service process tools.
4. Process,Value Realization,No resources.,Brief overview of use-cases; feature mappings; persona journeys; and value tracking approach.,Logical mapping of use-cases to system features and personas; with defined value metrics and measurement criteria.,Detailed user-journey scenarios showing how each persona extracts value; with worked tracking examples.,Automated usage tracking dashboards; interactive guided software tours; and value realisation reporting templates.
4. Process,Strategy,No resources.,Brief overview of mission; adoption approach; scaling plans; and growth trajectory.,Documented transition plans with logical frameworks for adoption sequencing; scaling criteria; and growth milestones.,Worked examples and playbooks for scaling adoption; with scenario-based growth planning and lessons learned.,Strategic planning templates; automated adoption tracking dashboards; and self-service scaling assessment tools.
4. Process,Industry Alignment,No resources.,Brief overview of relevant industry standards; cultural alignment needs; and maturity expectations.,Detailed definitions of industry terms within context; with documented alignment expectations and gap analysis.,Behavioural guides for shifting cultural practices; with worked alignment scenarios and maturity progression examples.,Maturity assessment templates; automated compliance measurement tools; and industry-standard alignment dashboards.
